enthrallments	enthrall @@ment @@s
countercomponies	counter @@compony @@s
escapological	escape @@ology @@ical
synapophyses	synapophysis @@s
protostomians	protostomian @@s
incombered	in @@comber @@ed
relegates	re @@legate @@s
entrapment	en @@trap @@ment
neurohistologically	neuro @@histo @@logy @@ical @@ly
grumpinesses	grump @@y @@ness @@s
spelk	spelk
chowderheaded	chowder @@head @@ed
mosskiller	moss @@kill @@er
vaporousness	vape @@ous @@ness
fowlyard	fowl @@yard
underchallenge	under @@challenge
oryalls	oryall @@s
zuclomifene	zuclomifene
effluviated	effluviate @@ed
exercices	exercice @@s
mammectomies	mamma @@ectomy @@s
eyewinks	eye @@wink @@s
caviares	caviare @@s
twitticisms	twittic @@ism @@s
roitelets	roitelet @@s
booging	boog @@ing
detainer	detain @@er
fets	fet @@s
illatives	illate @@ive @@s
amylic	amyl @@ic
T'ung-hua	T'ung @@hua
nereistoxin	nereistoxin
encirclement	en @@circle @@ment
palaeohistologically	palaeo @@histo @@logy @@ical @@ly
multibracket	multi @@bracket
aglet	aglet
ctenuchids	ctenuchid @@s
unachievable	un @@achieve @@able
imitatee	imitate @@ee
fallacious	fallacious
educateth	educate @@eth
P99	P99
kinking	kink @@ing
atlizumab	 @@ @@li @@zumab
crapulous	crapulous
quaterons	quateron @@s
BNCs	BNC @@s
naturizing	nature @@ize @@ing
sheetfed	sheet @@fed
injellied	injelly @@ed
micrographies	micro @@graphy @@s
decrosslinks	decross @@link @@s
unhuman	un @@human
retroaddition	retro @@addition
GWAPs	GWAP @@s
axotomizing	axo @@tomy @@ize @@ing
hemiaplasia	hemi @@aplasia
gamogony	gamo @@gony
stomatognathic	stomato @@gnathic
orchanet	orchanet
hyperepidemics	hyper @@epid @@emia @@ic @@s
berhyming	be @@rhyme @@ing
hospitalizable	hospital @@ize @@able
pianocentric	piano @@centric
dabster	dab @@ster
geocoronas	geocorona @@s
crenelets	crene @@let @@s
underbreeds	under @@breed @@s
distad	distad
ileally	ileal @@ly
Zakarian	Zakar @@ian
sublocalizing	sub @@local @@ize @@ing
phocine	phocine
retroaxonal	retro @@axon @@al
rises	rise @@s
salience	salience
Pitcairner	Pitcairn @@er
trancesters	trancester @@s
videoboard	video @@board
therapeutants	therapeutant @@s
fetichizing	fetich @@ize @@ing
photoholics	photo @@holic @@s
apple-polisher	apple @@polish @@er
sandbag	sand @@bag
tetrabutyltin	tetrabutyltin
hexoses	hex @@ose @@s
hobnobbing	hobnob @@ing
guiltylike	guilty @@like
sculpturings	sculpturing @@s
thermoablations	thermo @@ablate @@ion @@s
invest	invest
frizz	frizz
imparls	imparl @@s
stratocracy	strate @@o @@cracy
Koskela	Koskela
underdiversifies	under @@diverse @@ify @@s
voevodas	voevoda @@s
nonforcible	non @@force @@ible
brakeload	brake @@load
nuzzles	nose @@le @@s
paleostructures	paleo @@structure @@s
wedgefish	wedge @@fish
photoanaerobes	photo @@anaerobe @@s
rigolettes	rigolette @@s
Islay	Islay
hissingly	hiss @@ing @@ly
ampliates	ampliate @@s
melancholiac	melancholia @@ac
flatcar	flat @@car
nonrectangular	non @@rectangle @@ar
rearrangements	re @@arrange @@ment @@s
lendability	lend @@ability
averral	aver @@al
fathomable	fathom @@able
rheogram	rheogram
synchronistic	synchrone @@istic
phosphoglucosides	phospho @@glucose @@ide @@s
bestand	be @@stand
sorbitizations	sorbit @@ization @@s
awrathing	a @@wroth @@th @@ing
skirmished	skirm @@ish @@ed
interlinkage	inter @@link @@age
fumarase	fumar @@ase
Rabanales	Rabanales
quomodos	quomodo @@s
bioimage	bio @@image
rpts	rpt @@s
arcweld	arc @@weld
pondered	ponder @@ed
attered	atter @@ed
mamoties	mamoty @@s
roustabouts	roustabout @@s
disambiguates	dis @@ambiguous @@ate @@s
fribbled	fribble @@ed
centinewtons	centi @@newton @@s
sublation	sublation
trackwidths	track @@wide @@th @@s
meatometer	meat @@meter
unhealthiness	un @@whole @@th @@y @@ness
homogeny	homo @@geny
bouffage	bouff @@age
rheologists	rheo @@logy @@ist @@s
Europæan	Europæan
hypallage	hypallage
colpitis	colpo @@itis
reremember	re @@re @@member
monardas	monarda @@s
acafans	acafan @@s
palmfuls	palm @@ful @@s
underselling	under @@sell @@ing
anslaights	anslaight @@s
Sagarmatha	Sagarmatha
autoexcision	auto @@excise @@ion
cyberjunkie	cyber @@junk @@ie
peracted	peract @@ed
debarrassing	de @@barrass @@ing
scrobbling	scrobble @@ing
Grimsey	Grimsey
nomophylactic	nomo @@phylactic
turningness	turn @@ing @@ness
senarius	senarius
borderings	bordering @@s
remating	re @@mate @@ing
paddockfuls	pad @@ock @@ful @@s
nitrifiers	nitrify @@er @@s
tuberousness	tuber @@ous @@ness
morceau	morceau
blockbusters	block @@bust @@er @@s
aviadenovirus	aviadenovirus
hypoexcitability	hypo @@excite @@ability
interoperably	inter @@opera @@able @@ly
sedition	sedition
misdifferentiated	mis @@differ @@ence @@ial @@ated
strapwork	strap @@work
belote	be @@lote
proflazepam	pro @@flazepam
detrained	de @@train @@ed
extratumoral	extra @@tumor @@al
hemiterpenoids	hemi @@terpene @@oid @@s
uvulatome	uvula @@tome
delipidating	de @@lipidate @@ing
pharmacogenotypes	pharmacogenotype @@s
Aldous	Aldous
polyquaterniums	poly @@quaternium @@s
awayward	a @@way @@ward
speedlights	speedlight @@s
musicaholics	muse @@ic @@aholic @@s
eczematic	eczematic
mistradition	mis @@tradition
narrowhead	narrow @@head
Arencibia	Arencibia
photophysiological	photo @@physi @@ology @@ical
iodoanisoles	iodo @@anise @@ole @@s
objectivizes	object @@ive @@ize @@s
sheareth	shear @@eth
mannooligosaccharide	manno @@oligo @@saccharo @@ide
seasonlessness	season @@less @@ness
ergospheres	ergosphere @@s
whitelime	white @@lime
overcark	over @@cark
groaner	groan @@er
parently	parent @@ly
Sirayan	Sirayan
marmalade	marmalade
greking	greke @@ing
d/ls	d/l @@s
knifing	knife @@ing
abreacted	abre @@act @@ed
inelastically	in @@elastic @@ally
endewed	endew @@ed
mozzetta	mozzetta
vigintisexvirate	vigintisexvirate
genkans	genkan @@s
Duggan	Duggan
vauriens	vaurien @@s
malpostures	mal @@posture @@s
eomysticetids	eomysticetid @@s
refoundations	re @@found @@ation @@s
earlids	earlid @@s
Kuroki	Kuroki
gaby	gabe @@y
rosepetals	rosepetal @@s
Hi-NRG	Hi @@NRG
fuffing	fuff @@ing
Bacharachian	Bacharach @@ian
ducklet	duck @@let
turbaned	turban @@ed
polyglutamation	poly @@glutamation
cloacins	cloacin @@s
thwartsome	thwart @@some
multicyclic	multi @@cycle @@ic
recatches	re @@catch @@s
uppishnesses	up @@ish @@ness @@s
skites	skite @@s
stomatitis	stomatitis
octoploidy	octo @@ploid @@y
chapt	chapt
aflagellated	aflagellate @@ed
resubmergence	re @@sub @@merge @@ence
fansplains	fan @@splain @@s
Mitsuyuki	Mitsuyuki
curtailment	curtail @@ment
chlorotic	chlorosis @@ic
jambusters	jambuster @@s
deoils	deoil @@s
nornantenine	nor @@nantenine
subcompositions	sub @@composite @@ion @@s
LNAs	LNA @@s
beside	be @@side
nonbroken	non @@break @@en
chewers	chew @@er @@s
cotless	cot @@less
pedestaling	pedestale @@ing
unrecycled	un @@recycle @@ed
togging	tog @@ing
overswarmed	over @@swarm @@ed
inswathing	in @@swathe @@ing
phytoplanktonic	phyto @@plankton @@ic
beggarliness	beg @@ar @@ly @@ness
Wiesbaden	Wiesbaden
trendwatcher	trend @@watch @@er
lokao	lokao
hemilaminectomy	hemi @@lamina @@ectomy
sacramentalism	sacrament @@al @@ism
conisations	conisation @@s
rhodammonium	rhodammonium
disneyfying	disney @@fy @@ing
yoctojoule	yocto @@joule
tubiporites	tubiporite @@s
dictatours	dictatour @@s
nonmigrants	non @@migrant @@s
Carbonell	Carbonell
nominalizes	nominal @@ize @@s
luminously	luminous @@ly
ecoprovinces	eco @@province @@s
peritherapeutic	peri @@therapy @@ic
calamanco	calamanco
oxygenlike	oxygen @@like
thiocolchicine	thio @@colchicine
geogenetically	geo @@gene @@ic @@ally
encurs	encur @@s
prosyllogistic	pro @@syllogy @@istic
newcoining	new @@coin @@ing
oversplitting	over @@split @@ing
zakuskas	zakuska @@s
dephilosophised	dephilosophise @@ed
preabortal	pre @@abort @@al
reheated	re @@heat @@ed
legitimatised	legitimatise @@ed
RÃ¶ntgenize	RÅOntgen @@ize
apocarteresis	apocarteresis
otomandibular	oto @@mandible @@ar
storehousing	store @@house @@ing
ncsrnas	ncsrna @@s
disobediently	dis @@obedient @@ly
creepily	creep @@y @@ly
sappare	sappare
multilayerings	multi @@lay @@er @@ing @@s
unthrottles	un @@throatle @@s
reductionistic	re @@duct @@ion @@ist @@ic
teraohms	teraohm @@s
magnoperated	magnoperate @@ed
floatable	float @@able
Sinkiang	Sinkiang
Flemingians	Flemingian @@s
matterlessness	matter @@less @@ness
alleluiatic	alleluiasis @@ic
farinose	farin @@ose
maligner	malign @@er
securitizes	secure @@ity @@ize @@s
Goethean	Goethe @@an
underrating	under @@rate @@ing
outnighted	out @@night @@ed
Tabarchin	Tabarchin
protomitochondrial	proto @@mitochondrion @@al
cluelessness	clue @@less @@ness
Alissa	Alissa
agoraphobia	agora @@phobia
county	count @@y
kanuka	kanuka
cachinnation	cachinnation
crossbacked	cross @@back @@ed
engawas	engawa @@s
poniards	poniard @@s
hinking	hink @@ing
cardiomyocytic	cardio @@myo @@cyte @@ic
abacavir	abacavir
pornophile	porno @@phile
famular	famula @@ar
jabless	jab @@less
deffest	def @@est
unplight	un @@plight
wordlist	word @@list
overtriaging	over @@triage @@ing
toggled	tug @@le @@ed
miscognizant	mis @@cognize @@ant
PDFize	PDF @@ize
extensograms	extensogram @@s
cricket	cricket
portrayer	portray @@er
kilovar	kilovar
yesterfang	yester @@fang
angularity	angle @@ar @@ity
Busler	Busler
deduplicators	deduplicate @@or @@s
balafon	balafon
ceros	cero @@s
engirdling	en @@gird @@ling
paraspecific	para @@specify @@ic
lymphadenitis	lymphadenitis
nonfacilitative	non @@facility @@ative
Nope	Nope
inshelling	in @@shell @@ing
wretchedness	wretch @@ed @@ness
MMEL	MMEL
aglucones	aglucone @@s
uncrossable	un @@cross @@able
crinch	crinch
moradas	morada @@s
ballotine	ballotine
Bole	Bole
abiu	abiu
samuelsonite	samuelsonite
antimonotonic	anti @@monotonic
bronzine	bronzine
poachards	poachard @@s
dioleoyl	di @@oleo @@yl
courtside	court @@side
arrowy	arrow @@y
unbales	un @@bale @@s
beshearing	be @@shear @@ing
approaching	approach @@ing
yersinias	yersinia @@s
handguns	hand @@gun @@s
clinostomes	clinostome @@s
reflourish	re @@flour @@ish
ropeworker	rope @@work @@er
gaudimycins	gaudimycin @@s
coshift	co @@shift
uncomprehensive	un @@comprehend @@ive
webinars	webinar @@s
nanovaccination	nano @@vaccine @@ation
Theodosius	Theodosius
Asatryan	Asatryan
resaturated	re @@saturate @@ed
coehorn	coe @@horn
girosols	girosol @@s
solan	solan
oxyhaemoglobins	oxy @@haemo @@globin @@s
forelie	fore @@lie
crabstones	crab @@stone @@s
hyperlobulated	hyper @@lobulate @@ed
spiritoso	spiritoso
aponecrotic	apo @@necrosis @@ic
bannable	ban @@able
bellowsed	bellowse @@ed
allotons	allo @@ton @@s
dutars	dutar @@s
distrustest	dis @@trust @@est
isodrosopterin	iso @@drosopterin
coly	coly
schussboomers	schussboom @@er @@s
newsstore	new @@store
fanpage	fan @@age
stationariness	station @@ary @@ness
destress	de @@stress
teaspoon	teaspoon
suckups	suck @@up @@s
monosulphates	mono @@sulphus @@ate @@s
wemble	wemble
templing	temple @@ing
slapback	slap @@back
coulure	coulure
dentiles	dentile @@s
succorable	succor @@able
proselytisations	proselytisation @@s
anticataplectics	anti @@cataplectic @@s
caïques	caïque @@s
haberdashed	haberdash @@ed
myelosuppresses	myelo @@suppress @@s
heterochromatizations	heterochromatization @@s
demelanization	de @@melanin @@ization
neuropsychic	neuro @@psychic
saucissons	saucisson @@s
radiosensitizing	radio @@sensitive @@ize @@ing
paparazzied	paparazzy @@ed
underrides	under @@ride @@s
terminologically	terminology @@ical @@ly
azogalactan	azo @@galactan
centralised	centralise @@ed
interinsurer	inter @@in @@sure @@er
castrum	castrum
fairheaded	fair @@head @@ed
homiletics	homiletic @@s
steampunkish	steam @@punk @@ish
astrantia	astrantia
bryophagy	bryo @@phagy
processioning	procession @@ing
selles	selle @@s
vermivores	vermivore @@s
fadeaway	fade @@a @@way
gallfly	gall @@fly
devoicing	devoice @@ing
wealdish	weald @@ish
chits	chit @@s
subexon	sub @@expresson
Straw	Straw
Co-Freemasonry	Co @@Freemason @@ry
sacrations	sacration @@s
pigtail	pig @@tail
megaport	mega @@port
unescrowed	un @@escrow @@ed
contries	contry @@s
decoupages	de @@coup @@age @@s
entomopathogenesis	entomo @@patho @@genesis
homogamic	homo @@gamy @@ic
pneumatometer	pneumato @@meter
pudic	pudic
cardiocerebrovascular	cardio @@cerebro @@vascular
avoidance	avoid @@ance
pehelwan	pehel @@wan
lowen	low @@en
aerification	aerify @@ification
Aberffrwd	Aberffrwd
hearthside	hearth @@side
diphosphonate	di @@phosphonic @@ate
spynaces	spynace @@s
Arata	Arata
autonomy	auto @@nomy
proletarianisms	proletarian @@ism @@s
siliques	silique @@s
leachables	leach @@able @@s
hydrargyrum	hydrargyrum
ukeleles	ukelele @@s
empierced	empierce @@ed
warrantedness	warrant @@ed @@ness
pæaning	pæan @@ing
semi-Tychonic	semi @@Tychon @@ic
indirubin	in @@dirubin
nitpick	nit @@pick
adenoviruses	adenovirus @@s
mipmapping	mip @@map @@ing
hypercreatinaemia	hyper @@creatinaemia
onesome	one @@some
tweenish	tween @@ish
uninclusive	un @@include @@ive
petroleum	petroleum
orthochrysotile	ortho @@chrysotile
lienal	lien @@al
Internationale	Internation @@ale
lumberjacks	lumberjack @@s
Gaskin	Gaskin
bridleth	braid @@le @@eth
centenarian	centenarian
hemopigments	hemo @@pigment @@s
antiunionism	anti @@union @@ism
dewdrop	dew @@drop
hidness	hid @@ness
heterophobic	hetero @@phobic
cassiterites	cassiterite @@s
Churchilliana	Churchill @@iana
ironsmiths	iron @@smith @@s
refoundresses	re @@foundress @@s
girllike	girl @@like
macrozoobenthos	macro @@zoo @@benthos
electrophoresis	electro @@phoresis
hodiern	hody @@ern
nonrotational	non @@rotate @@ion @@al
east	east
macrotides	macrotide @@s
imprecator	imprecate @@or
nanowell	nano @@well
hyperpermissive	hyper @@permissive
myelopathic	myelo @@pathy @@ic
Bakradze	Bakradze
sulfurating	sulfur @@ate @@ing
coinless	coin @@less
depanelizes	de @@pane @@el @@ize @@s
dotids	dotid @@s
diviners	diva @@ine @@er @@s
sawed	saw @@ed
salvators	salvator @@s
batmobile	bat @@mobile
arithmetics	arithmetic @@s
cabinless	cabin @@less
repertories	re @@pertory @@s
alkalizing	alkali @@ize @@ing
civetlike	civet @@like
glasswort	glass @@wort
Janani	Janani
sandscape	sand @@scape
shlumps	shlump @@s
myocardializing	myo @@cardial @@ize @@ing
derdebas	derdeba @@s
microchemists	micro @@chemist @@s
myoglobin	myo @@globin
tiara	tiara
clipshears	clip @@shear @@s
splishes	splish @@s
sesquipedalian	sesqui @@pedal @@ian
Blankville	Blank @@ville
overglooms	over @@gloom @@s
Parrent	Parrent
benzoyltartrates	benzene @@yl @@trate @@s
microphysicist	micro @@physic @@s @@ist
SRVs	SRV @@s
deoxyribosides	deoxyriboside @@s
farmors	farmor @@s
decriminalises	decrime @@al @@ise @@s
intransitivization	in @@transitive @@ize @@ation
Pulitzers	Pulitzers
trypsinizing	trypsin @@ize @@ing
minxlike	minx @@like
embezzlement	en @@bezzle @@ment
swabs	swab @@s
unridden	un @@rede @@en
catastrophizes	catastrophe @@ize @@s
ligating	ligate @@ing
glycobiomarkers	glycobiomarker @@s
Portela	Portela
hymning	hymn @@ing
zoopsychologist	zoo @@psycho @@logy @@ist
rendangs	rendang @@s
overcontextualizes	over @@context @@ual @@ize @@s
protolophulids	protolophulid @@s
deboronations	de @@boronate @@ion @@s
enlisted	en @@list @@ed
omnifariousness	omnifarious @@ness
nanofilm	nano @@film
strams	stram @@s
mustanging	mustang @@ing
Kodori	Kodori
Krk	Krk
whiny	whine @@y
nonhominin	non @@hominin
fiberising	fiberise @@ing
Nikko	Nikko
tossed	toss @@ed
kanzonols	kanzonol @@s
storksbills	storksbill @@s
insularity	insular @@ity
wimping	wimp @@ing
disquiet	dis @@quiet
lumachellic	lumachellic
foliose	folia @@ose
projectivists	project @@ive @@ist @@s
puzzleheads	puzzle @@head @@s
li'l	li'l
circumspectly	circumspect @@ly
foretaken	fore @@take @@en
metagallic acid	meta @@gallic acid
antibaryonic	anti @@baryon @@ic
colopexy	colo @@pexy
sporophores	sporo @@phore @@s
Africanness	Africa @@n @@ness
bracingly	brace @@ing @@ly
jigglier	jig @@le @@y @@er
eccyclema	eccyclema
kajawah	kajawah
braize	braize
antemodern	ante @@modern
panhandles	pan @@hand @@le @@s
punters	punt @@er @@s
neophilics	neo @@philic @@s
translatrix	translatrix
enchondromatoses	enchondromatosis @@s
immunoactivator	immuno @@act @@ive @@ate @@or
kaph	kaph
phenylpropane	phenyl @@prop @@ane
nonlaughing	non @@laugh @@ing
outplaced	outplace @@ed
ludicrosities	ludicrous @@ity @@s
quakeproof	quake @@proof
seminist	seminism @@ist
cervicomedullary	cervico @@medullary
verifiest	verify @@est
pantywaists	pant @@y @@waist @@s
oversizedness	over @@size @@ed @@ness
depend	de @@pend
unviolable	un @@viol @@able
whished	whish @@ed
focalizing	focus @@al @@ize @@ing
dalfopristin	dalfopristin
bearhugging	bearhug @@ing
diapasms	diapasm @@s
prescriptively	prescriptive @@ly
paradoctor	paradoctor
baby-killer	baby @@kill @@er
subscapular	sub @@scapula @@ar
liverwort	live @@er @@wort
deballs	de @@ball @@s
kurgan	kurgan
bombarded	bombard @@ed
panellists	pane @@el @@ist @@s
repacifies	re @@pacify @@s
tropified	tropify @@ed
hyletically	hyletic @@ally
roseolar	roseola @@ar
phosphoglucoseisomerases	phospho @@glucoseisomer @@ase @@s
vermisols	vermisol @@s
dissuadable	dissuade @@able
protoscolex	proto @@scolex
ladyloves	lady @@love @@s
newmaking	new @@make @@ing
vanikorids	vanikorid @@s
frequented	frequent @@ed
naggier	nag @@y @@er
coladeira	coladeira
homestandings	home @@stand @@ing @@s
underenrichments	under @@enrich @@ment @@s
Borussia	Borussia
extraliposomal	extra @@lipo @@some @@al
flocculins	flocculin @@s
remainderman	remain @@er @@man
demagnetises	de @@magnet @@ise @@s
overgenerously	over @@generous @@ly
nonultrastructural	non @@ultra @@structure @@al
concavation	concavate @@ion
guardship	guard @@ship
subcompartment	sub @@compartment
hypotaurodont	hypotaurodont
incursions	incursion @@s
yarner	yarn @@er
potin	potin
vail	vail
TMJs	TMJ @@s
redworms	red @@worm @@s
inaudible	in @@audible
sobers	sober @@s
mortuary	mortuary
pirquitasite	pirquitasite
tiercé	tiercé
boobfeeding	boobfeed @@ing
cardiotoxic	cardio @@toxic
pointspersons	pointsperson @@s
spasmogens	spasmogen @@s
superficialist	superfice @@ial @@ist
aletasters	ale @@taster @@s
clothingless	clothing @@less
unextinguishable	un @@extinguish @@able
Cassese	Cassese
unfast	un @@fast
untacking	un @@tack @@ing
underdoers	under @@do @@er @@s
qualitativeness	quality @@ative @@ness
metaprogramming	meta @@program @@ing
microoptode	micro @@optode
flowingly	flow @@ing @@ly
dentaries	dentary @@s
pyromalic	pyro @@malic
boarfish	boar @@fish
diabats	diabat @@s
paraplegics	paraplegic @@s
geohazards	geo @@hazard @@s
normobilirubinemia	normo @@bilirubin @@emia
immunoembolizations	immuno @@embolization @@s
fragmentarily	fragment @@ary @@ly
Jewishish	Jew @@ish @@ish
fons	fon @@s
mixers	mix @@er @@s
hakawatis	hakawati @@s
phoebodonts	phoebodont @@s
phantasies	phantasy @@s
quercin	quercin
melados	melado @@s
camelthorns	camel @@thorn @@s
monoploids	mono @@ploid @@s
sice	sice
philhellene	philhellene
denotement	denote @@ment
oxytocin	oxytocin
bakerdom	bake @@er @@dom
studmasters	stud @@mast @@er @@s
dimply	dump @@ly
nanto	nanto
unspackled	un @@spackle @@ed
attrition	attrition
byres	byre @@s
xenolect	xeno @@lect
paravirtualisation	para @@virtual @@isation
puller	pull @@er
nativize	native @@ize
dyeries	dyery @@s
byzantines	byzantine @@s
bassanello	bassanello
æqualling	æqualling
revie	re @@vie
cytoskeleton	cyto @@skeleton
lout	lout
taratantaras	taratantara @@s
mammalukes	mammaluke @@s
trithing	trithe @@ing
subjectivised	subjectivise @@ed
macrosomes	macro @@some @@s
illuminists	illuminism @@ist @@s
indecent	indecent
hellzapoppin	hellzapoppin
farm-mate	farm @@mate
Haratins	Haratin @@s
thrombendarterectomies	thrombendarterectomy @@s
pyrates	pyrate @@s
smalltown	small @@town
multibreathers	multi @@breather @@s
soberizing	sober @@ize @@ing
rightsowner	right @@sown @@er
gabbles	gab @@le @@s
harmonises	harmony @@ise @@s
